pagename,Type/Organization,NameTag of Page,NameTag in Content,HashTag in Content,Number of Likes,Number of Followers,Posted Date,Content of Post,Label,Tokens,Word Count,Unique Words
The Hacker News, Media/news company, thehackernews ,, malware  DDoS,2009522.0,,26-6-2020,year old hacker sentence month prison create satori iot botnet malware one successor mirai compromise thousand device launch ddos attack online service,cyber attack,"['year', 'old', 'hacker', 'sentence', 'month', 'prison', 'create', 'satori', 'iot', 'botnet', 'malware', 'one', 'successor', 'mirai', 'compromise', 'thousand', 'device', 'launch', 'ddos', 'attack', 'online', 'service']",22,22
Indian Cyber Defence Alliance, Organisation, indiancyberdefencealliance ,,Cloning cybersecurity ethicalhacking uttarakhand dehradun ,9176.0,9162.0,18-5-2020,facebook account clone cybersecurity ethicalhacking uttarakhand dehradun,cyber defence,"['facebook', 'account', 'clone', 'cybersecurity', 'ethicalhacking', 'uttarakhand', 'dehradun']",7,7
Cyber Awareness, Computer and Internet website, cyberorgindia ,,,805.0,804.0,10-5-2017,today felt pathetic role cyber lawyer much hyped mission digital india one client ask judge case need year decide civil matter pm work hr minister law minister eminent lawyer much delay justice speechless innocent query make ashamed system presently buzzword today many fraud happen cyberspace,cyber awareness,"['today', 'felt', 'pathetic', 'role', 'cyber', 'lawyer', 'much', 'hyped', 'mission', 'digital', 'india', 'one', 'client', 'ask', 'judge', 'case', 'need', 'year', 'decide', 'civil', 'matter', 'pm', 'work', 'hr', 'minister', 'law', 'minister', 'eminent', 'lawyer', 'much', 'delay', 'justice', 'speechless', 'innocent', 'query', 'make', 'ashamed', 'system', 'presently', 'buzzword', 'today', 'many', 'fraud', 'happen', 'cyberspace']",45,41
Cyber Security News, News and media website, BreakingCyberSecNews ,,,8167.0,8577.0,31-10-2019,hi create discus board telegram channel add chat cybersecuritynewschat please feel free discus anything everything cybersecurity news,cyber attack,"['hi', 'create', 'discus', 'board', 'telegram', 'channel', 'add', 'chat', 'cybersecuritynewschat', 'please', 'feel', 'free', 'discus', 'anything', 'everything', 'cybersecurity', 'news']",17,16
Cyber Crime Complaint Center, Education, CyberCrimeComplaintCenter ,,,25346.0,26146.0,31-10-2019,april safe space act previously bawal bastos bill sign law,cyber crime,"['april', 'safe', 'space', 'act', 'previously', 'bawal', 'bastos', 'bill', 'sign', 'law']",10,10
Women's Aid, Non-profit organisation, womensaid ,,,62074.0,67364.0,25-6-2020,abuse end relationship end perpetrator use family proceeding child contact arrangement continue control abuse,womenaid,"['abuse', 'end', 'relationship', 'end', 'perpetrator', 'use', 'family', 'proceeding', 'child', 'contact', 'arrangement', 'continue', 'control', 'abuse']",14,12
Cyber Bullying, Community, helpstopcyberbullying123 ,,,12898.0,13152.0,27-8-2014,truth cyber bullying,cyber bullying,"['truth', 'cyber', 'bullying']",3,3
Internet Law Center Cyber-Harassment Center, Product/Service, cyberharassmentctr ,, ADL  Onlineharassment  hate,429.0,452.0,23-6-2020,adl study percent respondent report harass online racial religious sexual identity adl onlineharassment hate harassment adl survey race religion sexuality,cyber harassment,"['adl', 'study', 'percent', 'respondent', 'report', 'harass', 'online', 'racial', 'religious', 'sexual', 'identity', 'adl', 'onlineharassment', 'hate', 'harassment', 'adl', 'survey', 'race', 'religion', 'sexuality']",20,18
Stop Online Abuse, Community, stoponlineabuse , SistersUncut,,123.0,127.0,25-11-2015,learn domestic violence service cut sistersuncut,online abuse,"['learn', 'domestic', 'violence', 'service', 'cut', 'sistersuncut']",6,6
Internet Defamation Law, Lawyer and law firm, internetdefamationlawyer ,,,444.0,452.0,22-2-2020,news report refer coward punch land medium group damage,cyber defamation,"['news', 'report', 'refer', 'coward', 'punch', 'land', 'medium', 'group', 'damage']",9,9
Cyber Safety, Community, cybersafetypage ,,,574.0,576.0,14-3-2018,another card fraud,cyber safety,"['another', 'card', 'fraud']",3,3
Cyber Bullying Awareness,Computer and Internet website,,,,1454.0,1494.0,29-3-2020,notice lot message lot guy ask help forget fanpage definite answer stop cyber bullying effectively completely vague far research bully know victim bully report police local station guy need research varies state state united state different country need,cyber bullying,"['notice', 'lot', 'message', 'lot', 'guy', 'ask', 'help', 'forget', 'fanpage', 'definite', 'answer', 'stop', 'cyber', 'bullying', 'effectively', 'completely', 'vague', 'far', 'research', 'bully', 'know', 'victim', 'bully', 'report', 'police', 'local', 'station', 'guy', 'need', 'research', 'varies', 'state', 'state', 'united', 'state', 'different', 'country', 'need']",38,31
Cyber Attack,Community,,,,166.0,165.0,20-9-2017,request facebook write post recommend movie occasion page little active many watch people think watch name movie movie think amaze good time,cyber attack,"['request', 'facebook', 'write', 'post', 'recommend', 'movie', 'occasion', 'page', 'little', 'active', 'many', 'watch', 'people', 'think', 'watch', 'name', 'movie', 'movie', 'think', 'amaze', 'good', 'time']",22,18
Obscenity, Musician/Band, ObscenityDubstep ,,,21523.0,21556.0,7-9-2019,obscenity 8er cereal killer ep ft dop3 mc via firepower record,Cyber Obscenity,"['obscenity', '8er', 'cereal', 'killer', 'ep', 'ft', 'dop3', 'mc', 'via', 'firepower', 'record']",11,11
Cyber Morphs, Farm, CyberMorphs ,,,175.0,170.0,6-7-2014,get unexpected bumblebee pop head normal egg today believe get twin,morphing,"['get', 'unexpected', 'bumblebee', 'pop', 'head', 'normal', 'egg', 'today', 'believe', 'get', 'twin']",11,10
Cyber Security & Awareness, Community organisation, CSA100 ,,,6742.0,,22-1-2020,prevent upi fraud,cyber awareness,"['prevent', 'upi', 'fraud']",3,3
Cyber Bullying, Community organisation, KILL OR BE DIFFERENT ,,,2678.0,2724.0,18-11-2018,brother get best prosthetic,cyber bullying,"['brother', 'get', 'best', 'prosthetic']",4,4
Cyber security, Business service, sidhacktheworld ,,,95301.0,,15-9-2018,happy engineer day everyone,cyber security,"['happy', 'engineer', 'day', 'everyone']",4,4
Cyber Harassment, Community, cyberharassment ,,,65.0,70.0,7-3-2014,brand com start non profit help victim cyber bullying read organization,cyber harassment,"['brand', 'com', 'start', 'non', 'profit', 'help', 'victim', 'cyber', 'bullying', 'read', 'organization']",11,11
Women's Aid, Non-profit organisation, womensaid ,,,62124.0,67424.0,25-6-2020,abuse end relationship end perpetrator use family proceeding child contact arrangement continue control abuse,womenaid,"['abuse', 'end', 'relationship', 'end', 'perpetrator', 'use', 'family', 'proceeding', 'child', 'contact', 'arrangement', 'continue', 'control', 'abuse']",14,12
Cyber Concepts, Software company, cyberconceptssrilanka ,, mobileappdevelopment,6821.0,,23-6-2020,fine tune custom make crm exclusively customize suit operation detail solution webapplicationdevelopment mobileappdevelopment,morphing,"['fine', 'tune', 'custom', 'make', 'crm', 'exclusively', 'customize', 'suit', 'operation', 'detail', 'solution', 'webapplicationdevelopment', 'mobileappdevelopment']",13,13
Cyber bullying and harassment, Community, onlinebullying ,,,154.0,159.0,11-7-2018,rubriek afknouery vind nie net meer op die skoolterrein plaas nie maar die kinder vat hull boelie saam met hull huis toe gevolge van elektroniese toest,cyber harassment,"['rubriek', 'afknouery', 'vind', 'nie', 'net', 'meer', 'op', 'die', 'skoolterrein', 'plaas', 'nie', 'maar', 'die', 'kinder', 'vat', 'hull', 'boelie', 'saam', 'met', 'hull', 'huis', 'toe', 'gevolge', 'van', 'elektroniese', 'toest']",26,23
Family Online Safety Institute, Public & government service, FamOnlineSafety ,,,271055.0,269281.0,26-6-2020,join u july 1st new parent webinar think safety socialization game covid,online safety,"['join', 'u', 'july', '1st', 'new', 'parent', 'webinar', 'think', 'safety', 'socialization', 'game', 'covid']",12,12
Victims of Online Harassment and Cyberbullying Unite,Community,,,,147.0,149.0,20-9-2013,reply craigslist ad,cyber harassment,"['reply', 'craigslist', 'ad']",3,3
Women Safety, Community, women secured ,, 50millTREE  SingingFootstepsFoundation  50millionTREESin5years  PlantATreeGoToLondon,2733.0,2763.0,10-3-2020,50milltree singingfootstepsfoundation 50milliontreesin5years plantatreegotolondon,women online safety,"['50milltree', 'singingfootstepsfoundation', '50milliontreesin5years', 'plantatreegotolondon']",4,4
Cyber Safety, Community, cybersafetysrilanka ,,,379.0,382.0,24-6-2020,phishing attack,cyber safety,"['phishing', 'attack']",2,2
Cybersecurity, Community, advcybsec ,,,7974.0,8811.0,,facebook test profile picture guard profile picture protection india,cyber security,"['facebook', 'test', 'profile', 'picture', 'guard', 'profile', 'picture', 'protection', 'india']",9,7
Cyber bullying Awareness & Victim Support,Community,,,,1914.0,1902.0,15-6-2015,true middle school teacher hand different product ask student squeeze content everything container,cyber harassment,"['true', 'middle', 'school', 'teacher', 'hand', 'different', 'product', 'ask', 'student', 'squeeze', 'content', 'everything', 'container']",13,13
Family Zone Cyber Safety, Product/Service, FamilyZoneTeam ,,,44820.0,46363.0,,inappropriate content enough reason prevent kid tiktok maybe privacy concern,cyber safety,"['inappropriate', 'content', 'enough', 'reason', 'prevent', 'kid', 'tiktok', 'maybe', 'privacy', 'concern']",10,10
Cyber Risk, Product/Service, seguridadbasadaenriesgo ,,,70.0,70.0,20-5-2020,raise productivity home office time block,cyber risk,"['raise', 'productivity', 'home', 'office', 'time', 'block']",6,6
The Cyber Safety Tech Mum, Education Website, TheTechMum ,,,548.0,577.0,,one puzzle enough think puzzle today,cyber safety,"['one', 'puzzle', 'enough', 'think', 'puzzle', 'today']",6,5
Cyber Defense Technologies, Business consultant, CDTLLC ,, CDTTweets,400.0,414.0,,major magecart skim attack hit local u government site hack read cdttweets,cyber defence,"['major', 'magecart', 'skim', 'attack', 'hit', 'local', 'u', 'government', 'site', 'hack', 'read', 'cdttweets']",12,12
The Cyber Safety Lady, Education, TheCyberSafetyLady ,,,18118.0,19089.0,30-4-2020,thing go crazy house screentime digital device esafety commissioner reveal experience increase report online abuse since covid19 lockdown time take eye digital ball available help online consultation parent carers one one via zoom skype facetime hangout personal cyber safety consultation year som,cyber safety,"['thing', 'go', 'crazy', 'house', 'screentime', 'digital', 'device', 'esafety', 'commissioner', 'reveal', 'experience', 'increase', 'report', 'online', 'abuse', 'since', 'covid19', 'lockdown', 'time', 'take', 'eye', 'digital', 'ball', 'available', 'help', 'online', 'consultation', 'parent', 'carers', 'one', 'one', 'via', 'zoom', 'skype', 'facetime', 'hangout', 'personal', 'cyber', 'safety', 'consultation', 'year', 'som']",42,38
Centurion Cyber Defence, Consulting agency, CenturionCyberDefence ,,,153.0,154.0,27-6-2020,mitigate cyber threat work home,cyber defence,"['mitigate', 'cyber', 'threat', 'work', 'home']",5,5
Cyber Threat Trends, Information technology company, ddefense ,,,868.0,861.0,25-6-2020,amp article fbi warns k12 school ransomware attack via rdp,cyber attack,"['amp', 'article', 'fbi', 'warns', 'k12', 'school', 'ransomware', 'attack', 'via', 'rdp']",10,10
Cyber Criminals, Community, cybercriminals co ,,,136.0,135.0,9-3-2014,id netb00m report lammers fb delete new id netb00m,cyber criminals,"['id', 'netb00m', 'report', 'lammers', 'fb', 'delete', 'new', 'id', 'netb00m']",9,7
Women Safety, Women's health clinic, injuryFREEchildbirth ,,,522.0,522.0,1-11-2019,carry pregnancy month enough stress already need another stress delivery happily nurse baby,women online safety,"['carry', 'pregnancy', 'month', 'enough', 'stress', 'already', 'need', 'another', 'stress', 'delivery', 'happily', 'nurse', 'baby']",13,12
National Cyber Safety and  Security Standards," Science, technology and engineering", ncsssncdrc ,,,10980.0,,28-11-2019,connect industry leader certify security professional security expert analyst indian cyber congress incycon iv edition dec skcet coimbatore,cyber safety,"['connect', 'industry', 'leader', 'certify', 'security', 'professional', 'security', 'expert', 'analyst', 'indian', 'cyber', 'congress', 'incycon', 'iv', 'edition', 'dec', 'skcet', 'coimbatore']",18,17
Cyber law of India : awareness, Community, RegenratingAwareness ,,,3493.0,3500.0,9-11-2017,still suspense whether act social troll indigo indigo sham act let see guy careful u fly next indigo shame u indigo,cyber defamation,"['still', 'suspense', 'whether', 'act', 'social', 'troll', 'indigo', 'indigo', 'sham', 'act', 'let', 'see', 'guy', 'careful', 'u', 'fly', 'next', 'indigo', 'shame', 'u', 'indigo']",21,16
Cyber Stalking Awareness,Community,,,,187.0,194.0,6-5-2014,story melissa become victim cyber harassment ex boyfriend ex girlfriend,cyber stalking,"['story', 'melissa', 'become', 'victim', 'cyber', 'harassment', 'ex', 'boyfriend', 'ex', 'girlfriend']",10,9
Cyber Attack, Computer and Internet website, Fb Recover master ,,Facebook Stay Safe Stay Home,699.0,704.0,11-5-2020,savage hacker hack id common people post bad post id remove facebook stay safe stay home,cyber attack,"['savage', 'hacker', 'hack', 'id', 'common', 'people', 'post', 'bad', 'post', 'id', 'remove', 'facebook', 'stay', 'safe', 'stay', 'home']",16,13
Cyber Defence, Community, cyberdefend ,,,107.0,105.0,14-12-2014,fb short keysj k scroll news feed storiesp post new statusl like unlike select storyc comment select story,cyber defence,"['fb', 'short', 'keysj', 'k', 'scroll', 'news', 'feed', 'storiesp', 'post', 'new', 'statusl', 'like', 'unlike', 'select', 'storyc', 'comment', 'select', 'story']",18,17
Cyberattack, Book Series, cyberattackmuka ,,,1112.0,1112.0,3-1-2020,fake twitter account stir tension jew african american report cnn talk radio interview last june social medium weaponised create division among group people look next book learn get entertain cyberattack story series,cyber attack,"['fake', 'twitter', 'account', 'stir', 'tension', 'jew', 'african', 'american', 'report', 'cnn', 'talk', 'radio', 'interview', 'last', 'june', 'social', 'medium', 'weaponised', 'create', 'division', 'among', 'group', 'people', 'look', 'next', 'book', 'learn', 'get', 'entertain', 'cyberattack', 'story', 'series']",32,32
Cyber bullying Abuse and Defamation,Personal blog,,,,109.0,109.0,12-10-2018,first lady melania trump say bully person world time,cyber defamation,"['first', 'lady', 'melania', 'trump', 'say', 'bully', 'person', 'world', 'time']",9,9
STOP Social MEDIA Crimes,Community,,,,179.0,179.0,26-3-2015,lot fake people facebook pitty,social media crimes,"['lot', 'fake', 'people', 'facebook', 'pitty']",5,5
CyberRiskTOOL.IO, Internet company, CyberRiskTOOL IO ,, datafootprint  digitalhistory  digitalprivacy  dataprivacy  consent  protectprivacy  privacy  security  onlinesafety  cyberaware  internetsecurity,,0.0,1-6-2020,datafootprint digitalhistory digitalprivacy dataprivacy consent protectprivacy privacy security onlinesafety cyberaware internetsecurity,cyber risk,"['datafootprint', 'digitalhistory', 'digitalprivacy', 'dataprivacy', 'consent', 'protectprivacy', 'privacy', 'security', 'onlinesafety', 'cyberaware', 'internetsecurity']",11,11
Cyber Crime Wing - FIA, Law enforcement agency, CyberCrimeFIA ,,,37061.0,38326.0,30-4-2020,advisory social medium user possible hack personal account cyber criminal,cyber crime,"['advisory', 'social', 'medium', 'user', 'possible', 'hack', 'personal', 'account', 'cyber', 'criminal']",10,10
Cyber Crime India, Community, CyberCrimeAdvisorInvestigator ,,,1643.0,1643.0,11-3-2018,stop situation stop do,cyber crime India,"['stop', 'situation', 'stop', 'do']",4,3
Cybersecurity, Community, advcybsec ,,,7978.0,8817.0,28-6-2020,facebook test profile picture guard profile picture protection india,cyber security,"['facebook', 'test', 'profile', 'picture', 'guard', 'profile', 'picture', 'protection', 'india']",9,7
Cyber Defense Magazine,Magazine,, cyberdefensemag  miliefsky  sirpedrotavares  BlackHatEvents, cybersecurity  CYBER  SECURITY  CDM  EXCLUSIVE  CDM,35379.0,33929.0,,cyberdefensemag publisher miliefsky share important story ransomware age fight cybersecurity cyber security cdm exclusive ransomware pedro tavares sirpedrotavares hope see blackhatevents cdm,cyber defence,"['cyberdefensemag', 'publisher', 'miliefsky', 'share', 'important', 'story', 'ransomware', 'age', 'fight', 'cybersecurity', 'cyber', 'security', 'cdm', 'exclusive', 'ransomware', 'pedro', 'tavares', 'sirpedrotavares', 'hope', 'see', 'blackhatevents', 'cdm']",22,20
Hacking Humans, Podcast, CWHackingHumans ,, Cybersecurity  CWPro ,19113.0,19177.0,,q2 cybersecurity analyst call cwpro subscriber tomorrow pm et join rick howard dave bittner ben yelin insightful discussion event last day materially impact career organization responsible daily life people world register,phishing,"['q2', 'cybersecurity', 'analyst', 'call', 'cwpro', 'subscriber', 'tomorrow', 'pm', 'et', 'join', 'rick', 'howard', 'dave', 'bittner', 'ben', 'yelin', 'insightful', 'discussion', 'event', 'last', 'day', 'materially', 'impact', 'career', 'organization', 'responsible', 'daily', 'life', 'people', 'world', 'register']",31,31
Cyber Crime Police,Artist,,,,1492.0,1500.0,22-12-2015,remember everybody thought world would end december,cyber crime police,"['remember', 'everybody', 'thought', 'world', 'would', 'end', 'december']",7,7
National Online Safety, Education, NationalOnlineSafety ,, OnlineSafety  WakeUpWednesday,37183.0,39324.0,24-6-2020,good talk onlinesafety chat child daunt opening discussion wakeupwednesday guide include conversation starter parent carers around online content,online safety,"['good', 'talk', 'onlinesafety', 'chat', 'child', 'daunt', 'opening', 'discussion', 'wakeupwednesday', 'guide', 'include', 'conversation', 'starter', 'parent', 'carers', 'around', 'online', 'content']",18,18
WACHI Save Cyber Harassment International, Community, wachicyberinstitute ,,,3143.0,3145.0,1-5-2020,fia arrest fake facebook id user arrest fake facebook id user,cyber harassment,"['fia', 'arrest', 'fake', 'facebook', 'id', 'user', 'arrest', 'fake', 'facebook', 'id', 'user']",11,6
Cyber-Risk Management Group, Consulting agency, CyberRMG ,,,7474.0,7509.0,8-6-2020,anyone interested join free certify ethical hacker webinar june signup use link directly webinar,cyber risk,"['anyone', 'interested', 'join', 'free', 'certify', 'ethical', 'hacker', 'webinar', 'june', 'signup', 'use', 'link', 'directly', 'webinar']",14,13
CyberRisk Management, Consulting agency, cyberriskmgt ,,,48.0,50.0,29-11-2017,interest healthcare article,cyber risk,"['interest', 'healthcare', 'article']",3,3
The Cyber Security Hub.com, Media, TheCyberSecHub ,,,23437.0,26473.0,,strong arm entire ca industry one year certificate lifespan,cyber attack,"['strong', 'arm', 'entire', 'ca', 'industry', 'one', 'year', 'certificate', 'lifespan']",9,9
Cyber Security, Computer and Internet website, thelinuxosblog ,,,9553.0,9966.0,21-6-2020,correct way,cyber security,"['correct', 'way']",2,2
Phishing Scam & Organized Crime Victims, Community, organizedcrimevictims ,,,122.0,127.0,25-4-2020,call number kindly understand sender detail whenever msg sent medium internet name bank reflect msg shud also reflect atleast last two digit ur account message clear example phishing message anyone would call back may become victim lose money,phishing,"['call', 'number', 'kindly', 'understand', 'sender', 'detail', 'whenever', 'msg', 'sent', 'medium', 'internet', 'name', 'bank', 'reflect', 'msg', 'shud', 'also', 'reflect', 'atleast', 'last', 'two', 'digit', 'ur', 'account', 'message', 'clear', 'example', 'phishing', 'message', 'anyone', 'would', 'call', 'back', 'may', 'become', 'victim', 'lose', 'money']",38,34
Know & Fight Cyber Crime, Private Investigator, CyberCrimeInvestigatorJolly ,,,1333.0,,25-2-2020,chinese hacker compromise equifax fbclid iwar22pzlbx5nwkq5dwnpsfjnb0vn4htuy95mscbdu 4dxtgdtyhno8zhknlu,cyber stalking,"['chinese', 'hacker', 'compromise', 'equifax', 'fbclid', 'iwar22pzlbx5nwkq5dwnpsfjnb0vn4htuy95mscbdu', '4dxtgdtyhno8zhknlu']",7,7
World Cyber Criminal Space Association, Computer company, StreetSmartBlackHatHacker ,,,1309.0,1310.0,10-1-2017,exploit difficult sql injection vulnerability use sqlmap part,cyber criminals,"['exploit', 'difficult', 'sql', 'injection', 'vulnerability', 'use', 'sqlmap', 'part']",8,8
StopBullying.Gov, Government organisation, StopBullying Gov ,, DYK too StopBullying  Kindness,231001.0,,,dyk kindness contagious kind help other feel good help feel good stopbullying kindness,cyber bullying,"['dyk', 'kindness', 'contagious', 'kind', 'help', 'other', 'feel', 'good', 'help', 'feel', 'good', 'stopbullying', 'kindness']",13,9
Cyber Criminal Army, Organisation, CyberCriminalArmy ,,,144.0,145.0,23-8-2015,kazeyama kami fresh clan create day need ninja one clan member early season open recruitmentcriteria gain min 150rep day,cyber criminals,"['kazeyama', 'kami', 'fresh', 'clan', 'create', 'day', 'need', 'ninja', 'one', 'clan', 'member', 'early', 'season', 'open', 'recruitmentcriteria', 'gain', 'min', '150rep', 'day']",19,17
Delete Abuse Online, Community, DeleteAbuseOnline ,,,149.0,145.0,26-3-2019,immigrant own restaurant washington c block white house feed homeless poor every single day full pay cu,online abuse,"['immigrant', 'own', 'restaurant', 'washington', 'c', 'block', 'white', 'house', 'feed', 'homeless', 'poor', 'every', 'single', 'day', 'full', 'pay', 'cu']",17,17
Cyber Harassment against Women: Know it. Report it. Stop it, Community, cyberharassment17 ,,,128.0,127.0,23-5-2017,shabab,cyber harassment,['shabab'],1,1
Forgery, Community, Forgeryrockband ,,,219.0,224.0,22-7-2019,live tonight lassen county fair,forgery,"['live', 'tonight', 'lassen', 'county', 'fair']",5,5
Hacking Tutorial and CyberSecurity News, Computer and Internet website, Hackingtutorialsandnews ,,,172089.0,173604.0,,digital strike india ban chinese apps include tiktok uc browser shareit ban chinese apps,cyber security,"['digital', 'strike', 'india', 'ban', 'chinese', 'apps', 'include', 'tiktok', 'uc', 'browser', 'shareit', 'ban', 'chinese', 'apps']",14,11
Cyber Criminal, Community, cybercriminalworld ,,,121.0,120.0,15-7-2012,fuck love keep brutal,cyber criminals,"['fuck', 'love', 'keep', 'brutal']",4,4
Cyber Cell India, Public figure, CyberCrimeCellIndia ,, Diwali  Police  Dial 100  Police Responce  Happy Diwali  Cyber Crime  Cyber Police  CyberPolice  CyberCrime,9732.0,9839.0,21-10-2019,feel free dial number police assistance diwali police dial police responce happy diwali cyber crime cyber police cyberpolice cybercrime,cyber crime India,"['feel', 'free', 'dial', 'number', 'police', 'assistance', 'diwali', 'police', 'dial', 'police', 'responce', 'happy', 'diwali', 'cyber', 'crime', 'cyber', 'police', 'cyberpolice', 'cybercrime']",19,13
Stop Child Pornography: Cyber Safety is Our Responsibility,Society & culture website,,,,180.0,176.0,11-10-2018,internet rule kid,cyber pornography,"['internet', 'rule', 'kid']",3,3
CyberCrime Police Department,Government organisation,,,,1845.0,1923.0,30-8-2018,indian government launch online platform report cybercrime complaint please check platform,cyber crime police,"['indian', 'government', 'launch', 'online', 'platform', 'report', 'cybercrime', 'complaint', 'please', 'check', 'platform']",11,10
Cyberattack-Cybercomplacency, Cause, cccCyberComplacency ,,,59.0,60.0,14-9-2014,like link amar dave giveaday jigsaw good cause delighted invovled always provide good advice one dear many site turn audit dont examine log cann expect find hack dont look instead comment decide take action day year ago write first opensource wireless id year ago rewrote drive,cyber attack,"['like', 'link', 'amar', 'dave', 'giveaday', 'jigsaw', 'good', 'cause', 'delighted', 'invovled', 'always', 'provide', 'good', 'advice', 'one', 'dear', 'many', 'site', 'turn', 'audit', 'dont', 'examine', 'log', 'cann', 'expect', 'find', 'hack', 'dont', 'look', 'instead', 'comment', 'decide', 'take', 'action', 'day', 'year', 'ago', 'write', 'first', 'opensource', 'wireless', 'id', 'year', 'ago', 'rewrote', 'drive']",46,42
"Rise against cyberbullying, cyberstalking and harassment", Community, againstthebsandh ,,,1044.0,1026.0,27-6-2020,think minute,cyber harassment,"['think', 'minute']",2,2
CyberAwareness, Computer and Internet website, BMCyberAwareness ,,,4129.0,4431.0,25-6-2020,giveaway join,cyber awareness,"['giveaway', 'join']",2,2
Family Attack Cyber, Community, FamilyAttackCyberOfficial ,,,3267.0,3382.0,,hallo www zone h org mirror id,cyber attack,"['hallo', 'www', 'zone', 'h', 'org', 'mirror', 'id']",7,7
Cyber Bullying & Sexting Awareness, Community, cyberbullyingandsexting ,,,190.0,188.0,16-7-2016,say sorry something despicable make go away,sexting,"['say', 'sorry', 'something', 'despicable', 'make', 'go', 'away']",7,7
Public Cyber Bullying Harassment & Abuse Report Page, Community, ExposeYourBully ,,,568.0,582.0,23-2-2018,stop bullying stop unnecessary killing everyone shooter need held accountable thier action role play trigger disaster almost school shooter day deadly school shoot florida man name aaron chose write nbc affiliate kusa share persona,cyber harassment,"['stop', 'bullying', 'stop', 'unnecessary', 'killing', 'everyone', 'shooter', 'need', 'held', 'accountable', 'thier', 'action', 'role', 'play', 'trigger', 'disaster', 'almost', 'school', 'shooter', 'day', 'deadly', 'school', 'shoot', 'florida', 'man', 'name', 'aaron', 'chose', 'write', 'nbc', 'affiliate', 'kusa', 'share', 'persona']",34,31
AP Police Women Safety Cyber Space, Public & government service, appolicewomensafetycyberspace ,,,5437.0,5621.0,27-6-2020,drug destruction drug,women online safety,"['drug', 'destruction', 'drug']",3,2
Cyber Sainik, Non-governmental organisation (NGO), cybersainiktrust ,,,63050.0,,7-6-2020,stay safe corona,cyber pornography,"['stay', 'safe', 'corona']",3,3
